117,117 Raw,118,118 Raw,59,59 Raw,63,63 Raw,id
"Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Triple Point Venture,Triple Point Venture,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a61
"Digital and Technologies, Advanced Manufacturing","Digital and Technologies, Advanced Manufacturing",VC,VC,TSP Ventures Ltd,TSP Ventures Ltd,"Early Revenue, Revenue","Early Revenue, Revenue",69319c1a9e24cd0435b60a64
"Clean Energy Industries, Advanced Manufacturing, Digital and Technologies","Clean Energy Industries, Advanced Manufacturing, Digital and Technologies",VC,VC,Turquoise International Limited,Turquoise International Limited,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a67
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Twin Path Ventures,Twin Path Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a6a
"Digital and Technologies, Advanced Manufacturing, Creative Industries, Life Sciences","Digital and Technologies, Advanced Manufacturing, Creative Industries, Life Sciences",VC,VC,Two Magnolias,Two Magnolias,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a6d
"Clean Energy Industries, Advanced Manufacturing","Clean Energy Industries, Advanced Manufacturing",VC,VC,Unilever Europe,Unilever Europe,,,69319c1a9e24cd0435b60a70
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",Accelerator / Incubator,Accelerator / Incubator,University of Sussex Business Angels,University of Sussex Business Angels,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a73
"Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",Angel Network,Angel Network,University of Warwick (Minerva),University of Warwick (Minerva),"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a76
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,VALA CAPITAL VENTURES LTD,VALA CAPITAL VENTURES LTD,"Early Revenue, Revenue","Early Revenue, Revenue",69319c1a9e24cd0435b60a79
"Clean Energy Industries, Creative Industries, Digital and Technologies, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Advanced Manufacturing",VC,VC,Vectr investment Partners,Vectr investment Partners,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c1a9e24cd0435b60a7c
"Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Velocity Capital Advisors,Velocity Capital Advisors,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a7f
"Advanced Manufacturing, Digital and Technologies, Life Sciences","Advanced Manufacturing, Digital and Technologies, Life Sciences",VC,VC,World Fund,World Fund,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a82
"Life Sciences, Advanced Manufacturing, Digital and Technologies","Life Sciences, Advanced Manufacturing, Digital and Technologies",VC (Late-Stage),VC (Late-Stage),YFM Equity Partners,YFM Equity Partners,"Revenue, Growth, Mature","Revenue, Growth, Mature",69319c1a9e24cd0435b60a85
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Zero Carbon Capital,Zero Carbon Capital,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a88
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,ZINC VENTURES,ZINC VENTURES,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a8b
